DATE,CPI
1/1/1952,31.2
2/1/1952,30.7
3/1/1952,30.7
4/1/1952,30.8
5/1/1952,30.8
6/1/1952,30.6
7/1/1952,30.8
8/1/1952,30.9
9/1/1952,30.8
10/1/1952,30.8
11/1/1952,31.2
12/1/1952,30.9
1/1/1953,30.6
2/1/1953,30.2
3/1/1953,30.3
4/1/1953,30.1
5/1/1953,30.1
6/1/1953,30.4
7/1/1953,30.1
8/1/1953,30.3
9/1/1953,30.4
10/1/1953,30.4
11/1/1953,30.2
12/1/1953,30.3
1/1/1954,30.5
2/1/1954,30.4
3/1/1954,30.3
4/1/1954,30.3
5/1/1954,30.4
6/1/1954,30.2
7/1/1954,30.2
8/1/1954,30.1
9/1/1954,29.8
10/1/1954,29.8
11/1/1954,29.9
12/1/1954,29.6
1/1/1955,29.6
2/1/1955,29.8
3/1/1955,29.8
4/1/1955,29.8
5/1/1955,29.6
6/1/1955,29.4
7/1/1955,29.4
8/1/1955,29.3
9/1/1955,29.5
10/1/1955,29.4
11/1/1955,29.3
12/1/1955,29.3
1/1/1956,29.1
2/1/1956,29.1
3/1/1956,29.1
4/1/1956,29.2
5/1/1956,29.4
6/1/1956,29.9
7/1/1956,30.1
8/1/1956,29.9
9/1/1956,29.9
10/1/1956,30
11/1/1956,30.1
12/1/1956,30.1
1/1/1957,30.1
2/1/1957,30.4
3/1/1957,30.2
4/1/1957,30.3
5/1/1957,30.4
6/1/1957,30.6
7/1/1957,30.8
8/1/1957,31.2
9/1/1957,30.9
10/1/1957,30.8
11/1/1957,30.8
12/1/1957,30.9
1/1/1958,31.6
2/1/1958,31.8
3/1/1958,32.4
4/1/1958,32.5
5/1/1958,32.4
6/1/1958,32.2
7/1/1958,32
8/1/1958,32
9/1/1958,31.8
10/1/1958,31.7
11/1/1958,31.8
12/1/1958,31.6
1/1/1959,31.7
2/1/1959,31.4
3/1/1959,31.2
4/1/1959,31.1
5/1/1959,31
6/1/1959,31.2
7/1/1959,31.2
8/1/1959,31.1
9/1/1959,31.1
10/1/1959,31.2
11/1/1959,31.1
12/1/1959,31.1
1/1/1960,31
2/1/1960,30.9
3/1/1960,31
4/1/1960,31.4
5/1/1960,31.5
6/1/1960,31.5
7/1/1960,31.4
8/1/1960,31.5
9/1/1960,31.5
10/1/1960,31.8
11/1/1960,32
12/1/1960,32.1
1/1/1961,32
2/1/1961,32
3/1/1961,32
4/1/1961,31.9
5/1/1961,31.8
6/1/1961,31.6
7/1/1961,31.7
8/1/1961,31.7
9/1/1961,31.7
10/1/1961,31.7
11/1/1961,31.5
12/1/1961,31.6
1/1/1962,31.7
2/1/1962,31.9
3/1/1962,32
4/1/1962,32
5/1/1962,32
6/1/1962,31.9
7/1/1962,31.7
8/1/1962,31.8
9/1/1962,32.3
10/1/1962,32.2
11/1/1962,32.2
12/1/1962,32
1/1/1963,32.4
2/1/1963,32.4
3/1/1963,32.3
4/1/1963,32.2
5/1/1963,32.2
6/1/1963,32.3
7/1/1963,32.5
8/1/1963,32.5
9/1/1963,32.4
10/1/1963,32.3
11/1/1963,32.5
12/1/1963,32.5
1/1/1964,32.7
2/1/1964,32.6
3/1/1964,32.6
4/1/1964,32.6
5/1/1964,32.6
6/1/1964,32.7
7/1/1964,32.7
8/1/1964,32.7
9/1/1964,32.9
10/1/1964,33
11/1/1964,33.1
12/1/1964,33
1/1/1965,32.8
2/1/1965,32.8
3/1/1965,32.9
4/1/1965,33.1
5/1/1965,33.4
6/1/1965,34
7/1/1965,34
8/1/1965,33.7
9/1/1965,33.7
10/1/1965,33.8
11/1/1965,33.9
12/1/1965,34.2
1/1/1966,34.4
2/1/1966,35
3/1/1966,35.3
4/1/1966,35.4
5/1/1966,35.2
6/1/1966,35.1
7/1/1966,34.9
8/1/1966,35.5
9/1/1966,35.6
10/1/1966,35.6
11/1/1966,35.5
12/1/1966,35.3
1/1/1967,35.1
2/1/1967,35
3/1/1967,34.9
4/1/1967,34.7
5/1/1967,34.7
6/1/1967,35
7/1/1967,35.2
8/1/1967,35.3
9/1/1967,35.3
10/1/1967,35.4
11/1/1967,35.4
12/1/1967,35.6
1/1/1968,35.6
2/1/1968,35.8
3/1/1968,35.9
4/1/1968,36
5/1/1968,36.1
6/1/1968,36.1
7/1/1968,36.2
8/1/1968,36.3
