,Title,Episode,Line
0,Departure x And x Friends,1,Fearsome monsters... Exotic creatures...
1,Departure x And x Friends,1,Vast riches... Hidden treasures...
2,Departure x And x Friends,1,Evil enclaves... Unexplored lands...
3,Departure x And x Friends,1,"The word ""unknown"" holds magic."
4,Departure x And x Friends,1,And some incredible people are \Ndrawn to that magic.
5,Departure x And x Friends,1,They are known...
6,Departure x And x Friends,1,...as Hunters!
7,Departure x And x Friends,1,Departure x And x Friends
8,Departure x And x Friends,1,Whale Island
9,Departure x And x Friends,1,Gon's still trying to catch the Lord of the Lake?
10,Departure x And x Friends,1,Huh?
11,Departure x And x Friends,1,Y-Yes...
12,Departure x And x Friends,1,"He's been at it for a week, non-stop."
13,Departure x And x Friends,1,You promised he could take the Hunter Exam \Nif he caught the Lord of the Lake?
14,Departure x And x Friends,1,What a fool!
15,Departure x And x Friends,1,Five adults couldn't manage to \Nreel in that monster.
16,Departure x And x Friends,1,How is a child supposed to catch that beast?
17,Departure x And x Friends,1,Mito-san doesn't want him \Ntaking the Hunter Exam.
18,Departure x And x Friends,1,But Gon's old man was the same age \Nwhen he caught it...
19,Departure x And x Friends,1,He can't do it.
20,Departure x And x Friends,1,Got him!
21,Departure x And x Friends,1,Yes! Yes! Yes! Yes! Yes!
22,Departure x And x Friends,1,I got him good!
23,Departure x And x Friends,1,It's huge!
24,Departure x And x Friends,1,This is the Lord of the Lake?
25,Departure x And x Friends,1,It's been twenty years!
26,Departure x And x Friends,1,"I know! It was Gon's father that time, right?"
27,Departure x And x Friends,1,He's his father's son.
28,Departure x And x Friends,1,Gon actually caught the Lord!
29,Departure x And x Friends,1,"Look, Mito-san!"
30,Departure x And x Friends,1,Mito-san!
31,Departure x And x Friends,1,"I caught the Lord, as promised..."
32,Departure x And x Friends,1,"So I can take the Hunter Exam, right?"
33,Departure x And x Friends,1,Right?
34,Departure x And x Friends,1,I'll do my best.
35,Departure x And x Friends,1,I promise to become a Hunter!
36,Departure x And x Friends,1,It must be in the blood...
37,Departure x And x Friends,1,"No one has been able to catch the Lord after Ging pulled it off, at the age of twelve."
38,Departure x And x Friends,1,"And now his son has accomplished \Nthe same feat, at the same age."
39,Departure x And x Friends,1,His eyes have the same shine as his father's.
40,Departure x And x Friends,1,We can no longer stop him.
41,Departure x And x Friends,1,"Are you sure about this, Gon?"
42,Departure x And x Friends,1,Uh-huh.
43,Departure x And x Friends,1,Your father abandoned you \Nwhen you were still young to become a Hunter.
44,Departure x And x Friends,1,I know.
45,Departure x And x Friends,1,He chose becoming a Hunter over raising you!
46,Departure x And x Friends,1,Isn't that amazing?
47,Departure x And x Friends,1,Huh?
48,Departure x And x Friends,1,"Being a Hunter is so great, he was willing to abandon his own kid!"
49,Departure x And x Friends,1,It's a dangerous job!
50,Departure x And x Friends,1,You never know when you might lose your life!
51,Departure x And x Friends,1,Don't you understand?
52,Departure x And x Friends,1,I don't.
53,Departure x And x Friends,1,But I want to know more!
54,Departure x And x Friends,1,I want to become a Hunter and discover why it was so important to my dad!
55,Departure x And x Friends,1,You really are Ging's son...
56,Departure x And x Friends,1,I promise I'll pass the exam.
57,Departure x And x Friends,1,"I'll pass the exam, and I'll become a Hunter!"
58,Departure x And x Friends,1,Just promise that you'll come back safe.
59,Departure x And x Friends,1,Can you do that?
60,Departure x And x Friends,1,"Uh-huh, I promise!"
61,Departure x And x Friends,1,Pinky swear made...
62,Departure x And x Friends,1,Whoever breaks their promise has \Nto swallow a thousand needles.
63,Departure x And x Friends,1,Sealed with a kiss!
64,Departure x And x Friends,1,Gon...
65,Departure x And x Friends,1,"Thank you, Mito-san."
66,Departure x And x Friends,1,Good luck!
67,Departure x And x Friends,1,Knock 'em dead!
68,Departure x And x Friends,1,I'm going to become the \Nbest Hunter in the world!
69,Departure x And x Friends,1,"Once I'm the best Hunter \Nin the world, I'll come back!"
70,Departure x And x Friends,1,The best Hunter in the world?
71,Departure x And x Friends,1,Kid doesn't respect us.
72,Departure x And x Friends,1,"Every year, there are millions of skilled \Napplicants for the Hunter Exam."
73,Departure x And x Friends,1,But only a handful are selected.
74,Departure x And x Friends,1,"Don't say stuff that you can't back up, boy."
75,Departure x And x Friends,1,"What are you doing, Katsuo?"
76,Departure x And x Friends,1,"At this rate, you'll never make a decent sailor."
77,Departure x And x Friends,1,Why are you bent over?
78,Departure x And x Friends,1,"Hey, losers!"
79,Departure x And x Friends,1,Don't slack off!
80,Departure x And x Friends,1,"A-Aye, sir!"
81,Departure x And x Friends,1,Hey...
82,Departure x And x Friends,1,Didn't you hear me?
83,Departure x And x Friends,1,Move that box!
84,Departure x And x Friends,1,"A-Aye, Captain!"
85,Departure x And x Friends,1,Hold on.
86,Departure x And x Friends,1,Thanks!
87,Departure x And x Friends,1,A storm's coming.
88,Departure x And x Friends,1,"How can you tell, boy?"
89,Departure x And x Friends,1,That's what the seagulls are saying.
90,Departure x And x Friends,1,What?
91,Departure x And x Friends,1,Plus...
92,Departure x And x Friends,1,It's a huge storm that's coming!
93,Departure x And x Friends,1,It's true...
94,Departure x And x Friends,1,I can tell by the smell!
95,Departure x And x Friends,1,That boy...
96,Departure x And x Friends,1,Those eyes...
97,Departure x And x Friends,1,Could he be...
98,Departure x And x Friends,1,Captain!
99,Departure x And x Friends,1,The mast won't last much longer!
100,Departure x And x Friends,1,We should lower the sails!
101,Departure x And x Friends,1,Don't be stupid!
102,Departure x And x Friends,1,The fun's about to start.
103,Departure x And x Friends,1,Here we go!
104,Departure x And x Friends,1,Full to port!
105,Departure x And x Friends,1,Let's fly!
106,Departure x And x Friends,1,Hunter Vocabulary
107,Departure x And x Friends,1,Gon
108,Departure x And x Friends,1,Those waves weren't much...
109,Departure x And x Friends,1,"Hey, take the helm."
110,Departure x And x Friends,1,A-Aye!
111,Departure x And x Friends,1,"Damn, this is one lousy crew."
112,Departure x And x Friends,1,Not a one of them can stand.
113,Departure x And x Friends,1,Pathetic.
114,Departure x And x Friends,1,And they're supposed to be \Ntaking the Hunter Examination.
115,Departure x And x Friends,1,What a laugh!
116,Departure x And x Friends,1,Here are some herbs.
117,Departure x And x Friends,1,"If you chew them, you'll feel a little better."
118,Departure x And x Friends,1,W-Water...
119,Departure x And x Friends,1,"It's coming, so hold on."
120,Departure x And x Friends,1,That boy...
121,Departure x And x Friends,1,This is one sour apple...
122,Departure x And x Friends,1,I see.
123,Departure x And x Friends,1,There are a few tough nuts on board.
124,Departure x And x Friends,1,Excuse me!
125,Departure x And x Friends,1,H-Here is your water!
126,Departure x And x Friends,1,Thanks.
127,Departure x And x Friends,1,Now drink your fill.
128,Departure x And x Friends,1,"Thanks. I really appreciate it, Katsuo-san."
129,Departure x And x Friends,1,"First, tell me your names."
130,Departure x And x Friends,1,I'm Gon!
131,Departure x And x Friends,1,I'm Kurapika.
132,Departure x And x Friends,1,It's Leorio.
133,Departure x And x Friends,1,Why do you want to become Hunters?
134,Departure x And x Friends,1,"Hey! If you're not an examiner, \Nyou can't boss us around!"
135,Departure x And x Friends,1,Just answer the question!
136,Departure x And x Friends,1,My dad is a Hunter.
137,Departure x And x Friends,1,I left Whale Island because I want to know why my dad desired so much to be a Hunter.
138,Departure x And x Friends,1,Whale Island...
139,Departure x And x Friends,1,So this is Ging's son.
140,Departure x And x Friends,1,The day has finally come.
141,Departure x And x Friends,1,"Hey, kid!"
142,Departure x And x Friends,1,Huh?
143,Departure x And x Friends,1,You're not supposed to answer his question!
144,Departure x And x Friends,1,Why can't I tell him why I'm here?
145,Departure x And x Friends,1,"Not a team player, huh?"
146,Departure x And x Friends,1,I don't wish to reveal why I'm here.
147,Departure x And x Friends,1,I agree with Leorio.
148,Departure x And x Friends,1,What?
149,Departure x And x Friends,1,Hey! Aren't you younger than I am?
150,Departure x And x Friends,1,Show some respect!
151,Departure x And x Friends,1,It's quite simple to avoid pesky questions by offering a plausible lie.
152,Departure x And x Friends,1,Hey! Are you listening to me?
153,Departure x And x Friends,1,"However, it is quite shameful to rely upon deceit."
154,Departure x And x Friends,1,"That said, if I were to tell you the truth,"
155,Departure x And x Friends,1,I would be exposing my deepest secrets.
156,Departure x And x Friends,1,That is why I cannot provide an answer.
157,Departure x And x Friends,1,"Hey, you... Don't ignore me!"
158,Departure x And x Friends,1,"In other words, \Nyou refuse to answer my question."
159,Departure x And x Friends,1,"Hey, Katsuo."
160,Departure x And x Friends,1,"Aye, Captain."
161,Departure x And x Friends,1,Tell the examination board that \Nwe have two more dropouts.
162,Departure x And x Friends,1,What do you mean?
163,Departure x And x Friends,1,You still haven't figured it out?
164,Departure x And x Friends,1,The Hunter Examination has already begun.
165,Departure x And x Friends,1,What?
166,Departure x And x Friends,1,There are as many Hunter wannabes as there are stars in the sky.
167,Departure x And x Friends,1,The examiners don't have the time or \Nresources to review them all.
168,Departure x And x Friends,1,"So they hire people like us, to trim the fat."
169,Departure x And x Friends,1,I've already notified the board that everyone else on this ship had to withdraw.
170,Departure x And x Friends,1,"If they couldn't handle a little storm, they'd stand no chance in the \NHunter Examination's later stages."
171,Departure x And x Friends,1,"In other words, you only proceed to \Nthe main exam if I pass you."
172,Departure x And x Friends,1,So think carefully before you answer my question.
173,Departure x And x Friends,1,So he says...
174,Departure x And x Friends,1,Should have told us sooner.
175,Departure x And x Friends,1,I am the last survivor of the Kurta Clan.
176,Departure x And x Friends,1,"Four years ago, my clan was annihilated \Nby a band of criminals."
177,Departure x And x Friends,1,"I wish to become a Hunter and \Nhunt down that band, the Phantom Troupe."
178,Departure x And x Friends,1,So you want to become a bounty hunter?
179,Departure x And x Friends,1,The Phantom Troupe is a Class-A bounty.
180,Departure x And x Friends,1,Not even the most grizzled Hunters \Ncan touch them.
181,Departure x And x Friends,1,You'd be throwing away your life.
182,Departure x And x Friends,1,I do not fear death.
183,Departure x And x Friends,1,I fear only that my rage will fade over time.
184,Departure x And x Friends,1,"So, in other words, you want revenge."
185,Departure x And x Friends,1,Does that require that you become a Hunter?
186,Departure x And x Friends,1,"That may be the stupidest question \NI've ever heard, Leorio."
187,Departure x And x Friends,1,That's Leorio-san to you!
188,Departure x And x Friends,1,Places accessible only to Hunters...
189,Departure x And x Friends,1,Information otherwise unobtainable...
190,Departure x And x Friends,1,Actions otherwise impossible...
191,Departure x And x Friends,1,There are more reasons than your \Nbrain could possibly handle.
192,Departure x And x Friends,1,Hey!
193,Departure x And x Friends,1,"Why do you want to become a Hunter, Leorio-san?"
194,Departure x And x Friends,1,Me?
195,Departure x And x Friends,1,I'll make it short.
196,Departure x And x Friends,1,I want money.
197,Departure x And x Friends,1,Money can get you everything!
198,Departure x And x Friends,1,A big house!
199,Departure x And x Friends,1,A nice car!
200,Departure x And x Friends,1,Good liquor!
201,Departure x And x Friends,1,"You can't buy class with money, Leorio."
202,Departure x And x Friends,1,That's three times now.
203,Departure x And x Friends,1,Step outside.
204,Departure x And x Friends,1,"I'll end the filthy Kurta bloodline, here and now."
205,Departure x And x Friends,1,"Take that back, Leorio!"
206,Departure x And x Friends,1,Take that back!
207,Departure x And x Friends,1,That's Leorio-san to you.
208,Departure x And x Friends,1,"Hey, boys!"
209,Departure x And x Friends,1,I'm not finished yet!
210,Departure x And x Friends,1,Just let them go.
211,Departure x And x Friends,1,Huh?
212,Departure x And x Friends,1,Mito-san once told me...
213,Departure x And x Friends,1,"If you want to get to know someone, you need to make an effort to learn why they're angry."
214,Departure x And x Friends,1,It's important for them to \Nunderstand why they're mad.
215,Departure x And x Friends,1,So we should let them settle it themselves.
216,Departure x And x Friends,1,Captain!
217,Departure x And x Friends,1,L-Look...
218,Departure x And x Friends,1,"If we get caught by that waterspout, \Nthe ship will sink."
219,Departure x And x Friends,1,Lower the sails now.
220,Departure x And x Friends,1,Aye!
221,Departure x And x Friends,1,I'll help!
222,Departure x And x Friends,1,"Uh-huh, come with me."
223,Departure x And x Friends,1,I'll take the helm.
224,Departure x And x Friends,1,Aye!
225,Departure x And x Friends,1,Full to starboard!
226,Departure x And x Friends,1,Hurry!
227,Departure x And x Friends,1,The waterspout is gonna catch us!
228,Departure x And x Friends,1,Take back what you said!
229,Departure x And x Friends,1,"Take back your words, \Nand I'll forgive you, Leorio."
230,Departure x And x Friends,1,How many times must I repeat myself?
231,Departure x And x Friends,1,You should show me some respect.
232,Departure x And x Friends,1,I won't back down.
233,Departure x And x Friends,1,Then I have no choice...
234,Departure x And x Friends,1,Katsuo-san!
235,Departure x And x Friends,1,Damn it!
236,Departure x And x Friends,1,Pull 'em out! Now...
237,Departure x And x Friends,1,You idiot!
238,Departure x And x Friends,1,"If we hadn't grabbed your legs, you'd be shark bait now."
239,Departure x And x Friends,1,Honestly...
240,Departure x And x Friends,1,How reckless can you be?
241,Departure x And x Friends,1,But you did catch me.
242,Departure x And x Friends,1,Huh?
243,Departure x And x Friends,1,You both caught me!
244,Departure x And x Friends,1,"Well, I guess so..."
245,Departure x And x Friends,1,Gon!
246,Departure x And x Friends,1,Katsuo-san!
247,Departure x And x Friends,1,"Thanks, Gon!"
248,Departure x And x Friends,1,You saved my life.
249,Departure x And x Friends,1,I couldn't have done it alone.
250,Departure x And x Friends,1,These two helped save you.
251,Departure x And x Friends,1,Huh?
252,Departure x And x Friends,1,Thank you very much!
253,Departure x And x Friends,1,"No, you don't need to thank me."
254,Departure x And x Friends,1,Well...
255,Departure x And x Friends,1,"Yeah, I'm glad you're okay."
256,Departure x And x Friends,1,Yeah! So I'll be returning to my station!
257,Departure x And x Friends,1,What?
258,Departure x And x Friends,1,I apologize for my rude behavior.
259,Departure x And x Friends,1,"Sorry, Leorio-san."
260,Departure x And x Friends,1,Wh-What's with the sudden change?
261,Departure x And x Friends,1,We sound like strangers...
262,Departure x And x Friends,1,Just call me Leorio... Leorio works.
263,Departure x And x Friends,1,I'm also sorry.
264,Departure x And x Friends,1,I take back everything I said.
265,Departure x And x Friends,1,I was wrong.
266,Departure x And x Friends,1,"No, it's okay."
267,Departure x And x Friends,1,I like you guys!
268,Departure x And x Friends,1,Okay!
269,Departure x And x Friends,1,I'll take responsibility for bringing you three to the port closest to the exam site.
270,Departure x And x Friends,1,Really?
271,Departure x And x Friends,1,What about your test?
272,Departure x And x Friends,1,Like I said...
273,Departure x And x Friends,1,It's my decision to make.
274,Departure x And x Friends,1,And all three of you pass!
275,Departure x And x Friends,1,Yay!
276,Departure x And x Friends,1,And so began Gon's journey...
277,Departure x And x Friends,1,To follow in his father's footsteps \Nand become a Hunter.
278,Departure x And x Friends,1,Next time: Test x Of x Tests.
279,Departure x And x Friends,1,Look forward to it!
280,Test x Of x Tests.,2,Fearsome monsters... Exotic creatures...
281,Test x Of x Tests.,2,Vast riches... Hidden treasures...
282,Test x Of x Tests.,2,Evil enclaves... Unexplored lands...
283,Test x Of x Tests.,2,"The word ""unknown"" holds magic."
284,Test x Of x Tests.,2,And some incredible people are \Ndrawn to that magic.
285,Test x Of x Tests.,2,They are known...
286,Test x Of x Tests.,2,...as Hunters!
287,Test x Of x Tests.,2,Okay!
288,Test x Of x Tests.,2,I'll take responsibility for bringing you three to the port closest to the exam site.
289,Test x Of x Tests.,2,Yay!
290,Test x Of x Tests.,2,Test x Of x Tests
291,Test x Of x Tests.,2,Dolle Harbor
292,Test x Of x Tests.,2,"After winning the captain's favor, the trio of Gon, Kurapika, and Leorio arrived safely at Dolle Harbor."
293,Test x Of x Tests.,2,"Thanks, Captain!"
294,Test x Of x Tests.,2,I had a great time!
295,Test x Of x Tests.,2,"I had fun, too."
296,Test x Of x Tests.,2,"Right! As a token of my appreciation,"
